pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,data_source
cylinder_wake,grid,200.0,0.0,1.0,1.0,100.0,fixed,0.49382978677749634,0.03313107416033745,300.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,200.0,fixed,0.5010318756103516,0.035783909261226654,400.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,300.0,fixed,0.4967399537563324,0.030345330014824867,500.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,100.0,fixed,0.5002110004425049,0.008576617576181889,300.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,200.0,fixed,0.5177302956581116,0.010414309799671173,400.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,300.0,fixed,0.5013691782951355,0.011041833087801933,500.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,100.0,fixed,0.49084722995758057,0.05921041592955589,300.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,200.0,fixed,0.4926886260509491,0.0632619634270668,400.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,300.0,fixed,0.4972211718559265,0.06722445040941238,500.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,100.0,fixed,0.49431517720222473,0.0270119309425354,300.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,200.0,fixed,0.48321837186813354,0.03348110616207123,400.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,300.0,fixed,0.4947241544723511,0.0364721342921257,500.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,100.0,fixed,0.5016887187957764,0.03140022233128548,300.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,200.0,fixed,0.4979872703552246,0.030914636328816414,400.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,300.0,fixed,0.4978368878364563,0.029317960143089294,500.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,100.0,fixed,0.5209808349609375,0.010786749422550201,300.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,200.0,fixed,0.48758068680763245,0.008177442476153374,400.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,300.0,fixed,0.4929409325122833,0.011334436945617199,500.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,100.0,fixed,0.4920883774757385,0.06391438096761703,300.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,200.0,fixed,0.4977984130382538,0.06292344629764557,400.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,300.0,fixed,0.5053828954696655,0.06387629359960556,500.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,100.0,fixed,0.48318374156951904,0.031254760921001434,300.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,200.0,fixed,0.49782294034957886,0.0376051664352417,400.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,300.0,fixed,0.5029385089874268,0.035416875034570694,500.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,100.0,fixed,0.49633410573005676,0.02445223741233349,300.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,200.0,fixed,0.4970862865447998,0.031195135787129402,400.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,1.0,300.0,fixed,0.49954915046691895,0.035050392150878906,500.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,100.0,fixed,0.4854901432991028,0.008956638164818287,300.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,200.0,fixed,0.49368706345558167,0.01182596106082201,400.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,1.0,10.0,300.0,fixed,0.5133383870124817,0.009975395165383816,500.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,100.0,fixed,0.4979856014251709,0.06831847876310349,300.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,200.0,fixed,0.5050780177116394,0.06531874090433121,400.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,1.0,300.0,fixed,0.48745858669281006,0.06985896825790405,500.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,100.0,fixed,0.4978351891040802,0.03458629176020622,300.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,200.0,fixed,0.5032515525817871,0.0371364951133728,400.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,200.0,0.0,10.0,10.0,300.0,fixed,0.487070769071579,0.03219999000430107,500.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
