pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0006460541626438498,0.03599719703197479,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0006379722035489976,0.04579613730311394,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0025399269070476294,0.019362634047865868,100.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.003492486895993352,0.030714092776179314,200.0,50.0,4.0,1
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.005412908736616373,0.050986383110284805,300.0,50.0,4.0,1
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.0033534516114741564,0.04196396470069885,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.004017928149551153,0.03689992427825928,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.005398562643676996,0.043190546333789825,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.06672529876232147,0.017620230093598366,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.02115865983068943,0.02622310072183609,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.012501978315412998,0.007268097251653671,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.2510275840759277,0.016038883477449417,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.3070149421691895,0.022834140807390213,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,2.17789363861084,0.023781668394804,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,0.1,100.0,fixed,0.000775986525695771,0.05591508001089096,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,0.1,200.0,fixed,0.03678346797823906,0.061459627002477646,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,0.1,300.0,fixed,0.0016860594041645527,0.06305570900440216,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,1.0,100.0,fixed,0.007068290375173092,0.05915762111544609,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,1.0,200.0,fixed,0.003781865583732724,0.029664279893040657,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,1.0,300.0,fixed,0.013761904090642929,0.08297959715127945,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.0810752660036087,0.019318565726280212,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.2649238407611847,0.02891664020717144,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.0310299564152956,0.031565308570861816,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.005033754277974367,0.07518236339092255,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0010822900803759694,0.06452357023954391,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.004539613611996174,0.04525687173008919,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0006939030135981739,0.03751421347260475,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0020198654383420944,0.039582133293151855,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0005351425497792661,0.03579098731279373,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.006038648542016745,0.043350957334041595,100.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.00425039604306221,0.03922821581363678,200.0,50.0,4.0,2
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.004865698050707579,0.03706999495625496,300.0,50.0,4.0,2
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.003866720013320446,0.03551117703318596,100.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,0.1,200.0,fixed,0.0055183907970786095,0.0425843708217144,200.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,0.1,300.0,fixed,0.005081202369183302,0.0408424511551857,300.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,1.0,100.0,fixed,0.019634617492556572,0.02647726982831955,100.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,1.0,200.0,fixed,0.019590524956583977,0.014494579285383224,200.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,1.0,300.0,fixed,0.0825311690568924,0.03318852558732033,300.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,10.0,100.0,fixed,2.461261510848999,0.03857410326600075,100.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,10.0,200.0,fixed,2.1502134799957275,0.0207668524235487,200.0,50.0,4.0,3
poisson,grid,0.0,0.0,0.1,10.0,300.0,fixed,1.9616684913635254,0.01677551679313183,300.0,50.0,4.0,3
