pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.5053470260207684,0.06135839968919754,150.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.4772154425512508,0.0578581728041172,250.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.4542677730140898,0.06231328472495079,350.0,50.0,4.0,0,True,0.024413945694618782
burgers,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.43984503507729167,0.051966067403554916,150.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.4466716768022382,0.07865580916404724,250.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.486719181946975,0.0748521164059639,350.0,50.0,4.0,1,True,0.019384081862078167
burgers,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.4500133107951824,0.05901520699262619,150.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.5524172218928315,0.0645618662238121,250.0,50.0,4.0,2,True,0.01598179312014096
burgers,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.512113650174588,0.08738474547863007,350.0,50.0,4.0,2,True,0.01598179312014096
