pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,data_source
cylinder_wake,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.5102284550666809,0.03530597686767578,150.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.505484402179718,0.0367853082716465,250.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.4963622987270355,0.03229503706097603,350.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.5348610877990723,0.008652245625853539,150.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.51432865858078,0.010336474515497684,250.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5179566740989685,0.012160264886915684,350.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.5453065037727356,0.08133456110954285,150.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.5183711647987366,0.07050130516290665,250.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.5347173810005188,0.0680374875664711,350.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.5174597501754761,0.030014267191290855,150.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.5066654682159424,0.03836118057370186,250.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.519440770149231,0.03714080899953842,350.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.502285897731781,0.03354161977767944,150.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.4969286024570465,0.03346630558371544,250.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.5835244655609131,0.030028125271201134,350.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.5175625681877136,0.010975702665746212,150.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.5030113458633423,0.008925586938858032,250.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5239084959030151,0.012191365472972393,350.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.517672061920166,0.06998641043901443,150.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.5360387563705444,0.06502662599086761,250.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.5391290187835693,0.08860142529010773,350.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.5037885904312134,0.03605291247367859,150.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.5198022723197937,0.03844646364450455,250.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.5787661075592041,0.04124361649155617,350.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,100.0,fixed,0.49589094519615173,0.025732073932886124,150.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,200.0,fixed,0.5840373635292053,0.03225065767765045,250.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,1.0,300.0,fixed,0.5019964575767517,0.03380270302295685,350.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,100.0,fixed,0.5022265911102295,0.00933149829506874,150.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,200.0,fixed,0.5254549384117126,0.012798599898815155,250.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,1.0,10.0,300.0,fixed,0.5177193880081177,0.00989685021340847,350.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,100.0,fixed,0.5360625386238098,0.07054488360881805,150.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,200.0,fixed,0.5403746366500854,0.08809735625982285,250.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,1.0,300.0,fixed,0.5104245543479919,0.07535117119550705,350.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,100.0,fixed,0.5229755640029907,0.034467101097106934,150.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,200.0,fixed,0.5838138461112976,0.04326368495821953,250.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid,50.0,0.0,10.0,10.0,300.0,fixed,0.5124470591545105,0.03815149888396263,350.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
