pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid,100.0,0.0,1.0,1.0,100.0,fixed,0.4028808600095679,0.0451610535383224,200.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,1.0,200.0,fixed,0.4192763038562631,0.0671225860714912,300.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,1.0,300.0,fixed,0.3448619939651042,0.0677841454744339,400.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,10.0,100.0,fixed,0.6092635393522202,0.0251170825213193,200.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,10.0,200.0,fixed,0.5768557516361416,0.0261957105249166,300.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,10.0,300.0,fixed,0.6059281155475859,0.0229780673980712,400.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,1.0,100.0,fixed,0.2797532032065077,0.142279639840126,200.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,1.0,200.0,fixed,0.3240508392334961,0.1968709826469421,300.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,1.0,300.0,fixed,0.3804905419080568,0.2791931331157684,400.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,10.0,100.0,fixed,0.4424109117023658,0.0782061368227005,200.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,10.0,200.0,fixed,0.4761610115445606,0.0845059305429458,300.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,10.0,10.0,300.0,fixed,0.4446520705951276,0.0677706077694892,400.0,50.0,4.0,0,True,0.023080113589626
burgers,grid,100.0,0.0,1.0,1.0,100.0,fixed,0.3262422996172716,0.0596775338053703,200.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,1.0,1.0,200.0,fixed,0.3602781849154826,0.0638911798596382,300.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,1.0,1.0,300.0,fixed,0.4300560099624531,0.076984167098999,400.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,1.0,10.0,100.0,fixed,0.5055436279629716,0.0212141759693622,200.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,1.0,10.0,200.0,fixed,0.5713836652304309,0.0202846266329288,300.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,1.0,10.0,300.0,fixed,0.5511290123861284,0.0231395177543163,400.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,10.0,1.0,100.0,fixed,0.3053871893184118,0.1771768629550933,200.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,10.0,1.0,200.0,fixed,0.3622642789624294,0.2303172349929809,300.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,10.0,1.0,300.0,fixed,0.3726882048221553,0.2282624840736389,400.0,50.0,4.0,1,True,0.0192537794058287
burgers,grid,100.0,0.0,10.0,10.0,100.0,fixed,0.4226947728099926,0.0743651688098907,200.0,50.0,4.0,1,True,0.0192537794058287
