pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid,20.0,0.1,1.0,1.0,200.0,fixed,0.6691290217521206,0.0707407221198082,220.0,50.0,4.0,4
burgers,grid,20.0,0.1,1.0,1.0,300.0,fixed,0.4787502998303872,0.07119067013263702,320.0,50.0,4.0,4
burgers,grid,20.0,0.1,1.0,10.0,100.0,fixed,0.6012672776514916,0.029758920893073082,120.0,50.0,4.0,4
burgers,grid,20.0,0.1,1.0,10.0,200.0,fixed,0.7081151144170088,0.02782326191663742,220.0,50.0,4.0,4
burgers,grid,20.0,0.1,1.0,10.0,300.0,fixed,0.6404268442329587,0.02611435204744339,320.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,1.0,100.0,fixed,0.46973071192359817,0.29600590467453003,120.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,1.0,200.0,fixed,0.3888560768622336,0.212218776345253,220.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,1.0,300.0,fixed,0.37328647566457746,0.22386234998703003,320.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,10.0,100.0,fixed,0.3810754207241231,0.07739408314228058,120.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,10.0,200.0,fixed,0.4645310040662545,0.07250165194272995,220.0,50.0,4.0,4
burgers,grid,20.0,0.1,10.0,10.0,300.0,fixed,0.4793605145136439,0.09372539818286896,320.0,50.0,4.0,4
