pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,data_source
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.5013571381568909,0.027767734602093697,150.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.5054828524589539,0.029980871826410294,250.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.48332446813583374,0.026733942329883575,350.0,50.0,4.0,0,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.500389039516449,0.025504978373646736,150.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.4852541387081146,0.027200914919376373,250.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.5601662993431091,0.026917370036244392,350.0,50.0,4.0,1,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,100.0,relobralo,0.4819585680961609,0.020985571667551994,150.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,200.0,relobralo,0.5692766904830933,0.02818223647773266,250.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
cylinder_wake,grid_relobralo,50.0,0.0,1.0,1.0,300.0,relobralo,0.4989239275455475,0.02834361605346203,350.0,50.0,4.0,2,True,cylinder_nektar_wake.mat
