pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid,100.0,0.0,1.0,1.0,100.0,fixed,0.40288086000956796,0.04516105353832245,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,1.0,200.0,fixed,0.41927630385626313,0.06712258607149124,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,1.0,300.0,fixed,0.3448619939651042,0.0677841454744339,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,10.0,100.0,fixed,0.6092635393522202,0.02511708252131939,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,10.0,200.0,fixed,0.5768557516361416,0.02619571052491665,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,10.0,300.0,fixed,0.6059281155475859,0.02297806739807129,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,1.0,100.0,fixed,0.27975320320650776,0.14227963984012604,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,1.0,200.0,fixed,0.32405083923349615,0.19687098264694214,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,1.0,300.0,fixed,0.38049054190805687,0.27919313311576843,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,10.0,100.0,fixed,0.44241091170236585,0.0782061368227005,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,10.0,200.0,fixed,0.47616101154456064,0.08450593054294586,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,10.0,10.0,300.0,fixed,0.4446520705951276,0.06777060776948929,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid,100.0,0.0,1.0,1.0,100.0,fixed,0.3262422996172716,0.05967753380537033,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,1.0,200.0,fixed,0.36027818491548264,0.06389117985963821,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,1.0,300.0,fixed,0.43005600996245313,0.07698416709899902,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,10.0,100.0,fixed,0.5055436279629716,0.02121417596936226,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,10.0,200.0,fixed,0.5713836652304309,0.02028462663292885,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,10.0,300.0,fixed,0.5511290123861284,0.02313951775431633,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,1.0,100.0,fixed,0.30538718931841186,0.17717686295509338,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,1.0,200.0,fixed,0.3622642789624294,0.23031723499298096,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,1.0,300.0,fixed,0.37268820482215537,0.22826248407363892,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,10.0,100.0,fixed,0.4226947728099926,0.07436516880989075,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,10.0,200.0,fixed,0.4735257058536434,0.07716813683509827,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,10.0,10.0,300.0,fixed,0.38933790169453414,0.07389326393604279,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid,100.0,0.0,1.0,1.0,100.0,fixed,0.3365113537743126,0.05996689200401306,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,1.0,1.0,200.0,fixed,0.44424448048404286,0.09639408439397812,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,1.0,1.0,300.0,fixed,0.4258556340012004,0.09177036583423615,400.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,1.0,10.0,100.0,fixed,0.5587086838662896,0.029033536091446877,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,1.0,10.0,200.0,fixed,0.5697031130814981,0.022291047498583794,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,1.0,10.0,300.0,fixed,0.6519578443288931,0.0250766109675169,400.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,1.0,100.0,fixed,0.3509175459517645,0.1994631588459015,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,1.0,200.0,fixed,0.39196934560742414,0.26519447565078735,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,1.0,300.0,fixed,0.32797242431841445,0.23135937750339508,400.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,10.0,100.0,fixed,0.2593311634032659,0.06491576135158539,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,10.0,200.0,fixed,0.39711852406343595,0.0765899121761322,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid,100.0,0.0,10.0,10.0,300.0,fixed,0.4751418896002072,0.07838615030050278,400.0,50.0,4.0,2,True,0.021414273154137207
