pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,100.0,gradnorm,0.626806290343638,0.043179579079151154,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,200.0,gradnorm,0.8822970725559328,0.0035563362762331963,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,300.0,gradnorm,0.9931883024899706,0.003984742797911167,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,100.0,gradnorm,0.8894562597749673,0.0026195200625807047,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,200.0,gradnorm,0.8913338414807235,0.005045869387686253,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,300.0,gradnorm,0.8703710556856409,0.0073236688040196896,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,100.0,gradnorm,0.9195361546517641,0.006106546614319086,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,200.0,gradnorm,0.7787170551509557,0.015027918852865696,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid_gradnorm,100.0,0.0,1.0,1.0,300.0,gradnorm,0.9559606980767916,0.0011815159814432263,400.0,50.0,4.0,2,True,0.021414273154137207
