pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,real_data,real_data_sigma
burgers,grid_relobralo,100.0,0.0,1.0,1.0,100.0,relobralo,0.49776395679906293,0.07863537967205048,200.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_relobralo,100.0,0.0,1.0,1.0,200.0,relobralo,0.4797732596908035,0.057523034512996674,300.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_relobralo,100.0,0.0,1.0,1.0,300.0,relobralo,0.4370235812651662,0.05147380009293556,400.0,50.0,4.0,0,True,0.023080113589626094
burgers,grid_relobralo,100.0,0.0,1.0,1.0,100.0,relobralo,0.4382290798226636,0.05648493766784668,200.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_relobralo,100.0,0.0,1.0,1.0,200.0,relobralo,0.4255953665107848,0.05328959971666336,300.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_relobralo,100.0,0.0,1.0,1.0,300.0,relobralo,0.49569662522955704,0.052356623113155365,400.0,50.0,4.0,1,True,0.019253779405828786
burgers,grid_relobralo,100.0,0.0,1.0,1.0,100.0,relobralo,0.4122406329332432,0.05167756602168083,200.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid_relobralo,100.0,0.0,1.0,1.0,200.0,relobralo,0.5285753140393459,0.07231195271015167,300.0,50.0,4.0,2,True,0.021414273154137207
burgers,grid_relobralo,100.0,0.0,1.0,1.0,300.0,relobralo,0.5335356511797429,0.07530268281698227,400.0,50.0,4.0,2,True,0.021414273154137207
