pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed
burgers,grid,20.0,0.01,1.0,1.0,100.0,fixed,0.4157152705523952,0.05818641558289528,120.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,1.0,200.0,fixed,0.4136629837487354,0.05830225348472595,220.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,1.0,300.0,fixed,0.4874151447100515,0.08137442171573639,320.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,10.0,100.0,fixed,0.5816599123438908,0.025249771773815155,120.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,10.0,200.0,fixed,0.6621723674175017,0.027073759585618973,220.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,10.0,300.0,fixed,0.6180115388576028,0.02417459897696972,320.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,1.0,100.0,fixed,0.4630191983760934,0.1780962496995926,120.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,1.0,200.0,fixed,0.4320824542515844,0.15282577276229858,220.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,1.0,300.0,fixed,0.41215367833157884,0.330394446849823,320.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,10.0,100.0,fixed,0.48618050389599754,0.08114710450172424,120.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,10.0,200.0,fixed,0.706782972917586,0.08921770006418228,220.0,50.0,4.0,0
burgers,grid,20.0,0.01,10.0,10.0,300.0,fixed,0.44696442249056384,0.07104434072971344,320.0,50.0,4.0,0
burgers,grid,20.0,0.01,1.0,1.0,100.0,fixed,0.330814740221533,0.04847881197929382,120.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,1.0,200.0,fixed,0.4239193335247791,0.08684338629245758,220.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,1.0,300.0,fixed,0.42425362169043246,0.07508374005556107,320.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,10.0,100.0,fixed,0.5565881924265995,0.02665196917951107,120.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,10.0,200.0,fixed,0.6704364738362187,0.024888776242733,220.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,10.0,300.0,fixed,0.5851571303539367,0.02183939702808857,320.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,1.0,100.0,fixed,0.534819180499785,0.2086433470249176,120.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,1.0,200.0,fixed,0.3744769998195313,0.27906569838523865,220.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,1.0,300.0,fixed,0.3853506353611087,0.25665542483329773,320.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,10.0,100.0,fixed,0.5077747763679583,0.08388932049274445,120.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,10.0,200.0,fixed,0.491062633004782,0.07183388620615005,220.0,50.0,4.0,1
burgers,grid,20.0,0.01,10.0,10.0,300.0,fixed,0.44451081761985806,0.07496434450149536,320.0,50.0,4.0,1
burgers,grid,20.0,0.01,1.0,1.0,100.0,fixed,0.528397614440144,0.04962600767612457,120.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,1.0,200.0,fixed,0.4072323123140321,0.08152265846729279,220.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,1.0,300.0,fixed,0.5759110585510562,0.07738997042179108,320.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,10.0,100.0,fixed,0.5684349560921657,0.028344202786684036,120.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,10.0,200.0,fixed,0.5971440062899089,0.020474813878536224,220.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,10.0,300.0,fixed,0.6210240327143006,0.022625233978033066,320.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,1.0,100.0,fixed,0.3505078633152241,0.20005960762500763,120.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,1.0,200.0,fixed,0.4201369199148961,0.2632070481777191,220.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,1.0,300.0,fixed,0.5482136525208136,0.26207467913627625,320.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,10.0,100.0,fixed,0.3242652967066594,0.057846974581480026,120.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,10.0,200.0,fixed,0.4487564314545688,0.08461043238639832,220.0,50.0,4.0,2
burgers,grid,20.0,0.01,10.0,10.0,300.0,fixed,0.5017210067155115,0.0889134556055069,320.0,50.0,4.0,2
burgers,grid,20.0,0.01,1.0,1.0,100.0,fixed,0.3434264940416648,0.0672597661614418,120.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,1.0,200.0,fixed,0.5419216700821061,0.0695243775844574,220.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,1.0,300.0,fixed,0.4506318493522757,0.08379404991865158,320.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,10.0,100.0,fixed,0.571792524164569,0.02509290724992752,120.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,10.0,200.0,fixed,0.5700781605528644,0.02527889423072338,220.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,10.0,300.0,fixed,0.7188653768548605,0.029173841699957848,320.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,1.0,100.0,fixed,0.45551485393198426,0.2379591166973114,120.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,1.0,200.0,fixed,0.6363915443979786,0.2481539100408554,220.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,1.0,300.0,fixed,0.36082068904133824,0.21912401914596558,320.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,10.0,100.0,fixed,0.5006513077096318,0.062275003641843796,120.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,10.0,200.0,fixed,0.48734939004527156,0.10032208263874054,220.0,50.0,4.0,3
burgers,grid,20.0,0.01,10.0,10.0,300.0,fixed,0.30268330496078033,0.07914257794618607,320.0,50.0,4.0,3
burgers,grid,20.0,0.01,1.0,1.0,100.0,fixed,0.48617216441328787,0.056317124515771866,120.0,50.0,4.0,4
burgers,grid,20.0,0.01,1.0,1.0,200.0,fixed,0.6615019119009463,0.07169079780578613,220.0,50.0,4.0,4
