pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,balancer,f1_l2_error,f2_pde_residual,f3_data_budget,hidden_dim,n_layers,seed,experiment
poisson,grid,0.0,0.0,1.0,10.0,100.0,fixed,0.0447487607598304,0.0452439971268177,100.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,200.0,fixed,0.081381618976593,0.022254167124629,200.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,1.0,10.0,300.0,fixed,0.280954509973526,0.0285739954560995,300.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,100.0,fixed,0.0026437214110046,0.0677268058061599,100.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,200.0,fixed,0.0507502108812332,0.0841340646147728,200.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,0.1,300.0,fixed,0.0431853719055652,0.0787998288869857,300.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,100.0,fixed,0.0006003572489134,0.0319875329732894,100.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,200.0,fixed,0.0006460541626438,0.0359971970319747,200.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,1.0,300.0,fixed,0.0006379722035489,0.0457961373031139,300.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,100.0,fixed,0.0025399269070476,0.0193626340478658,100.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,200.0,fixed,0.0034924868959933,0.0307140927761793,200.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,10.0,10.0,300.0,fixed,0.0054129087366163,0.0509863831102848,300.0,50.0,4.0,1,poisson_grid_clean
poisson,grid,0.0,0.0,0.1,0.1,100.0,fixed,0.0033534516114741,0.0419639647006988,100.0,50.0,4.0,2,poisson_grid_clean
