pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.29455596258747013,0.01485356967896223,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.24590488947327932,0.019074374809861183,220.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.272374232701745,0.02661890909075737,320.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.4200187775041032,0.01210031658411026,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.4301934915906855,0.015840673819184303,220.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.5353365732653127,0.015319541096687317,320.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.3759323680361998,0.027944836765527725,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.25018943655253467,0.04388628900051117,220.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.33333271023524125,0.07935147732496262,320.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.26994359612623803,0.017501629889011383,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.2997980358242941,0.03924751281738281,220.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.43541653406158826,0.026617875322699547,320.0,fixed,50.0,4.0
