pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers
burgers,grid,20.0,0.05,1.0,1.0,100.0,0.29455596258747013,0.01485356967896223,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.24590488947327932,0.019074374809861183,220.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.4200187775041032,0.01210031658411026,120.0,fixed,50.0,4.0
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.26994359612623803,0.017501629889011383,120.0,fixed,50.0,4.0
