hv,spacing,nadir_f1,nadir_f2,nadir_f3,experiment,seed
1.0000007977815138e-24,0.0,0.5056048954919939,0.32646405796868894,200.000000001,burgers_baseline_fixed,0
1.0000007922303941e-24,0.0,0.4047687253937735,0.2428111891017685,200.000000001,burgers_baseline_fixed,1
1.0000007922303941e-24,0.0,0.42682270655602794,0.25635346870286563,200.000000001,burgers_baseline_fixed,2
1.0000007977815138e-24,0.0,0.500203188344174,0.2408264289365539,200.000000001,burgers_baseline_fixed,3
1.0000007922303941e-24,0.0,0.42524877801031075,0.213734746979309,200.000000001,burgers_baseline_fixed,4
10.885718293186118,37.19841270374109,0.6744385646012081,0.28186903540045016,320.0,burgers_grid_clean,0
3.0074493063528336,39.953308492407835,0.6151280122258114,0.10562297999858851,320.0,burgers_grid_clean,1
0.23072705651591313,47.020397417186935,0.6192659351946338,0.06625027954578397,210.0,burgers_grid_clean,2
0.5833235618265916,48.97269526785411,0.6135569775191191,0.0861665470525622,320.0,burgers_grid_clean,3
2.9516552973238063e-11,0.0,0.6564071102430263,0.07107291631400582,100.000000001,burgers_grid_clean,4
0.7487359703497114,0.00015778758259942505,1.034406878085672,0.06831889166496685,320.0,burgers_grid_gradnorm,0
0.019477933897626965,3.215219099708202e-05,1.0197951066255613,0.0061152720940298505,320.0,burgers_grid_gradnorm,1
0.24038847845859804,3.866188990629048e-05,0.9888846016835877,0.01647615097463127,320.0,burgers_grid_gradnorm,2
0.0041786716040269605,0.0,0.9773485796009512,0.00654764231294385,210.0,burgers_grid_gradnorm,3
4.832825544932187e-05,0.0,0.9831462520158025,0.0018140325555577302,320.0,burgers_grid_gradnorm,4
15.317379546970608,39.892467247521125,0.6385973249102053,0.36101643163710834,340.0,burgers_grid_noisy_s01,0
0.9489087038554009,49.88660517323545,0.7043986471976873,0.05114275347441433,340.0,burgers_grid_noisy_s01,1
0.3450416023980474,43.258743805456106,0.6244318772482339,0.06158419065177438,230.0,burgers_grid_noisy_s01,2
1.293231118847598,48.9379897612761,0.598703446084948,0.08454754501581185,340.0,burgers_grid_noisy_s01,3
2.0266398144397137,37.21736813980152,0.6792346702643284,0.08621954675763839,340.0,burgers_grid_noisy_s01,4
0.10048409702155811,49.98299115614306,0.3739282856030324,0.02135102497413754,340.0,burgers_grid_noisy_s05,0
