selection_method,pde,algorithm,n_obs,obs_noise,hypervolume,spacing,nadir_f1,nadir_f2,nadir_f3,n_pareto,n_runs,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,fuzzy_score
baseline_fixed_weights,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,1.920789488266192,4.31119469695535,86,0.2956940443732985,0.0197913479059934,86.0,
ideal_point,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,7.663075937360029,4.370817559621897,71,0.3509594315709106,0.0051493900828063,71.0,
knee_point,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,7.739786529511078,4.389345519080772,436,0.2334394732114746,0.0389938801527023,436.0,
nsga_first,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,7.739786529511078,4.389345519080772,436,0.2334394732114746,0.0389938801527023,436.0,
static_fuzzy,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,2.3387161337722726,4.366331350851715,96,0.2834394198620377,0.0101186046376824,96.0,0.7298724498261775
evolved_fuzzy,burgers,nsga2,0,0.0,1.0353167327826596,6.053016028281471,0.3627114274068542,0.0423783291596919,472.5,6,6,2.3387161337722726,4.366331350851715,96,0.2834394198620377,0.0101186046376824,96.0,0.7298724498261775
