selection_method,pde,algorithm,n_obs,obs_noise,hypervolume,spacing,n_pareto,n_runs,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers,fuzzy_score
baseline_fixed_weights,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,1.0,0.1,200.0,6.444586324505508e-05,0.0124546075239777,200.0,fixed,50.0,4.0,
ideal_point,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,1.0,10.0,100.0,0.0013815093552693,0.007836983539164,100.0,fixed,50.0,4.0,
knee_point,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,10.0,10.0,200.0,0.0001012863212963,0.0032346621155738,200.0,fixed,50.0,4.0,
nsga_first,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,1.0,0.1,200.0,6.444586324505508e-05,0.0124546075239777,200.0,fixed,50.0,4.0,
static_fuzzy,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,1.0,10.0,100.0,0.0013815093552693,0.007836983539164,100.0,fixed,50.0,4.0,0.8589008989819267
evolved_fuzzy,poisson,grid,0.0,0.0,0.0014382692046241076,0.003446527212308113,5,5,10.0,10.0,200.0,0.0001012863212963,0.0032346621155738,200.0,fixed,50.0,4.0,0.7640269733893384
