pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget
burgers,nsga2,0,0.0,7.739786529511078,4.389345519080772,436,0.23343947321147462,0.03899388015270233,436.0
burgers,nsga2,0,0.0,6.918858820218809,3.712140181464874,436,0.25538670376451406,0.027227573096752167,436.0
burgers,nsga2,0,0.0,1.9375294328629342,4.370817559621897,86,0.330431595420327,0.014322479255497456,86.0
burgers,nsga2,0,0.0,2.3387161337722726,4.366331350851715,96,0.28343941986203774,0.010118604637682438,96.0
burgers,nsga2,0,0.0,7.663075937360029,4.370817559621897,71,0.3509594315709106,0.005149390082806349,71.0
burgers,nsga2,0,0.0,1.920789488266192,4.31119469695535,86,0.29569404437329855,0.01979134790599346,86.0
