baseline,experiment,pde,n_seeds,f1_l2_mean,f1_l2_std,f2_res_mean,f2_res_std,f3_budget_mean,f3_budget_std,hv_mean,hv_std,spacing_mean,spacing_std,seeds
Fixed-weight PINN,burgers_baseline_fixed,burgers,3,0.4457321081472651,0.053010918024378996,0.3071496784687042,0.02807433576823027,200.0,0.0,1.0000007940807673e-24,2.6168228865988606e-33,,,"0,1,2"
Grid search,burgers_grid_clean,burgers,3,0.4013914381661252,0.054536414863601695,0.022464773928125664,0.0011935280463430417,100.0,0.0,18.520281284581888,5.0474776113423285,41.39070620444529,4.136619397907655,"0,1,2"
GradNorm (Chen et al. 2018),burgers_grid_gradnorm,burgers,3,0.8166728135979695,0.08231884787813232,0.0013279996734733002,0.00016676029031834053,100.0,0.0,0.3362007942353122,0.3053296806441195,7.620055450093252e-05,5.775192008600404e-05,"0,1,2"
ReLoBRaLo (Bischof & Kraus 2021),burgers_grid_relobralo,burgers,3,0.4688602774012269,0.013286472885535581,0.058302904168764734,0.0033606532865637427,100.0,0.0,0.20938694191488158,0.11222624022321645,0.0,0.0,"0,1,2"
NSGA-II (Deb et al. 2002),burgers_nsga2_clean,burgers,3,0.39540819633581176,0.052189978915834184,0.01678309186051283,0.010278771003275783,94.0,37.322915213043046,6.273364369008696,2.1747544969757975,20.587357158145593,9.56537702972664,"0,1,2"
NSGA-III (Jain & Deb 2014),burgers_nsga3_clean,burgers,3,0.3047440317073504,0.05348894160861414,0.015294984914362366,0.007151248399378123,87.33333333333333,32.593455375785695,3.5235289250573367,2.128238416565556,91.42208743729788,56.282038189157845,"0,1,2"
MOEA/D (Zhang & Li 2007),burgers_moead_clean,burgers,3,0.35393419310079444,0.1053654294204405,0.06505059202512103,0.028473591029011265,71.66666666666667,37.52776749732568,0.006262590088256681,0.005433909745072209,6.298009159091735,8.723459389055563,"0,1,2"
