method,pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,fuzzy_score,balanced_loss
static_fuzzy,burgers,nsga2,0,0.0,2.3387161337722726,4.366331350851715,96,0.2834394198620377,0.0101186046376824,96.0,0.7298724498261775,1.0030578960885284
evolved_fuzzy,burgers,nsga2,0,0.0,2.3387161337722726,4.366331350851715,96,0.2834394198620377,0.0101186046376824,96.0,0.7298724498261775,1.0030578960885284
