pde,algorithm,n_obs,obs_noise,lam_data,lam_pde,n_collocation,f1_l2_error,f2_pde_residual,f3_data_budget,balancer,hidden_dim,n_layers,seed
burgers,grid,20.0,0.05,1.0,1.0,200.0,0.6623103018969756,0.01800534315407276,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,1.0,300.0,0.2843309470289976,0.025765251368284225,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,100.0,0.5141823384564871,0.016964105889201164,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,200.0,0.49086874552895327,0.014946496114134789,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,1.0,10.0,300.0,0.5081811017425002,0.01828947104513645,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,100.0,0.22314095772246245,0.027761640027165413,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,200.0,0.3359457821247964,0.05435604229569435,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,1.0,300.0,0.3784884438540357,0.05822296068072319,320.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,100.0,0.3142249119220942,0.018943317234516144,120.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,200.0,0.40423680217832236,0.03250811994075775,220.0,fixed,50.0,4.0,4
burgers,grid,20.0,0.05,10.0,10.0,300.0,0.4386021920707116,0.038213953375816345,320.0,fixed,50.0,4.0,4
